,track_id,id,name,followers,genres,popularity,extract_date
245,0gcTaw7aYWnAKsgIYJsvAt,7IEhlwWQA7pCkEvzwwHehE,ASH ISLAND,231479,['k-rap'],56,2023-03-29
248,2o0H0o6gWgnegtqkuOhtZk,2019zR22qK2RBvCqtudBaI,OH MY GIRL,1647702,"['k-pop', 'k-pop girl group']",56,2023-03-29
250,396Dkg9z5Q1hXxKryeP9T8,4cJ99wTjC60pXcfyISL9fa,APRIL,475027,"['k-pop', 'k-pop girl group']",43,2023-03-29
252,3VC1IEz9M1txlMSx3h3tPM,2JhAlkmukNvarUpGhTFXUQ,KARD,1727266,['k-pop'],57,2023-03-29
254,4MYFwF0xZNoUjzVZDtuNMN,64XKgSVwpKMMZmAUftB1Hp,SOULBYSEL,4086,[],45,2023-03-29
255,4MYFwF0xZNoUjzVZDtuNMN,7fgL4SG4e92nmJ3GuTpz58,Def.,116241,[],49,2023-03-29
258,5KqOPtE8nhYtgcXzrIt6N0,3CVYSpM7nfHFG5qCTW7Ht9,ONEUS,825429,"['k-pop', 'k-pop boy group']",57,2023-03-29
260,5qELFdy1PLLinCg5462HES,4VdV2qRAYBLINR6uU72V1J,Joshua Bassett,940858,"['pop', 'post-teen pop', 'social media pop']",65,2023-03-29
261,5qELFdy1PLLinCg5462HES,3xvaSlT4xsyk6lY1ESOspO,Disney,301338,[],83,2023-03-29
264,09j88EP4RqMgLMYfjN7gRn,1vqR17Iv8VFdzure1TAXEq,LIT killah,4465093,"['argentine hip hop', 'trap argentino', 'trap latino', 'trap triste', 'urbano latino']",73,2023-03-29
266,0Z250T6pdgYBawnGvmAY13,7vtSUU3zpHeYJfX6BPNrJd,Briston Maroney,233182,"['indie pop', 'modern rock', 'nashville indie']",62,2023-03-29
268,0bqfNDZvqXB10fUKSfj6mY,5U5HiTvNUclEE0bwGVDBIX,Azul Violeta,110190,"['funk mexicano', 'latin alternative', 'latin rock', 'mexican rock', 'rock en espanol']",41,2023-03-29
270,0dpFb4qv92TE9R00Lq4SAW,4f5V3PQ66nIrBCqugJtaGn,Death,708584,"['alternative metal', 'death metal', 'dissonant death metal', 'florida death metal', 'metal', 'nu metal', 'rock', 'technical death metal']",58,2023-03-29
272,0mGNDAW085Jkn8IbEalZG3,0rTP0x4vRFSDbhtqcCqc8K,Ronghao Li,600184,"['chinese singer-songwriter', 'mainland chinese pop', 'mandopop']",63,2023-03-29
273,0mGNDAW085Jkn8IbEalZG3,6noxsCszBEEK04kCehugOp,A-Mei Chang,762552,"['c-pop', 'mandopop', 'taiwan pop']",60,2023-03-29
276,0meKbAXQpVUTzoTXzT2TT9,6tkhw6PSVw7b2M7h5fLBLE,Cyhra,31030,"['gothenburg metal', 'melodic metal']",47,2023-03-29
278,0uyvc0R0wJ6Fu3E01UtlzJ,2OTuoIi28WybVbVcykc237,Miss May I,460174,"['deathcore', 'melodic deathcore', 'melodic metalcore', 'metalcore', 'post-screamo', 'screamo']",54,2023-03-29
280,0yajebaRJVcOQGdh4giqZy,7gU9VyFRN3JWPJ5oHOil60,Tayc,1551251,['pop urbaine'],75,2023-03-29
281,0yajebaRJVcOQGdh4giqZy,2z2TRvloJt4EfUNQp9rHAi,Alonzo,1736599,"['francoton', 'french hip hop', 'french pop', 'pop urbaine', 'rap francais', 'rap marseille']",66,2023-03-29
284,19G8XMtHCX6y6eYTLDbaU3,5xwugJ4uudppmOCCZateE5,Liberación,1041846,"['grupera', 'gruperas inmortales', 'grupero romantico', 'musica mexicana', 'tejano', 'tropical']",66,2023-03-29
286,19wJJ7XPv1IQ6tWZ6LktGu,1FX1BFU0DbHRYgKP83pA0d,JELEEL!,130036,['rhode island rap'],61,2023-03-29
287,19wJJ7XPv1IQ6tWZ6LktGu,2qAwMsiIjTzlmfAkXKvhVA,Armani White,440730,['indie hip hop'],69,2023-03-29
290,1QwoK3ypxUCpvyBqAkpFrn,1bhZt10yZVCJfp3HaNxJv8,Riovaz,151890,[],65,2023-03-29
294,1Roz7FfvXU50hWjdjEPvDo,5EmEZjq8eHEC6qFnT63Lza,Tinlicker,154026,"['edm', 'progressive house']",67,2023-03-29
295,1Roz7FfvXU50hWjdjEPvDo,7pCfNMcSlUWQgBXbyoEcyO,Solomon Grey,24029,[],46,2023-03-29
298,1T7NMrWDpNQ25wm4druuHN,3Fw8q9sZ1t7diLxoQFS8hW,Hanin Dhiya,1389144,['indonesian pop'],55,2023-03-29
300,1d46ed3h4U9ws3YsvUOMon,5FjQVp1Lb0kltmwIuu5kfj,Dayseeker,181399,['metalcore'],62,2023-03-29
302,1fTW6CCD4RFNnsKhxWKCFs,3eAOH2az3fQIfX2UAw0FfC,L.A.B.,221435,['nz reggae'],60,2023-03-29
304,1q1T0TbFO2fWkDmgCKwTB0,6cadOIa5DTh6a5mGo5r4bh,Trent Reznor and Atticus Ross,151590,['soundtrack'],53,2023-03-29
306,2EJXYTlMDXkCcGEVRwdFAG,4NJhFmfw43RLBLjQvxDuRS,Wolfgang Amadeus Mozart,4933747,"['classical', 'classical era']",76,2023-03-29
307,2EJXYTlMDXkCcGEVRwdFAG,0iqgjl0OG3z53PZVIB7ZyD,Víkingur Ólafsson,60631,"['classical piano', 'nordic classical piano']",65,2023-03-29
310,2KokOIKdw4zZutDil85Ugh,6oMuImdp5ZcFhWP0ESe6mG,Migos,13048092,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'trap']",79,2023-03-29
311,2KokOIKdw4zZutDil85Ugh,0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,22086898,"['rap', 'slap house']",91,2023-03-29
312,2KokOIKdw4zZutDil85Ugh,7c0XG5cIJTrrAgEC3ULPiq,Ty Dolla $ign,4556231,"['dance pop', 'hip hop', 'pop', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'trap soul', 'viral rap']",82,2023-03-29
313,2KokOIKdw4zZutDil85Ugh,0c173mlxpT3dSFRgMO8XPh,Big Sean,10738400,"['detroit hip hop', 'hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap']",79,2023-03-29
