,id,name,available_markets,total_tracks,genres,popularity
195,2XBnxKeRZi76u2iyGcMych,Peace Is The Mission,0,9,[],0
196,4KXLjIEas8MTwwX3xpmAdC,V (Deluxe),163,16,[],62
197,1yAbPp9HY4AmCERN9JGYuw,Cuestión de tiempo,184,11,[],46
198,0yLhNN1wvArT1xOU9Y8s4S,Todo Comenzó Bailando,184,12,[],65
199,5MxXY7DbFMUiHFTPUabgJJ,I Don’t Wanna Live Forever (Fifty Shades Darker),0,1,[],0
200,7oiJYvEJHsmYtrgviAVIBD,Back from the Edge,172,17,[],83
201,39NO201BzBWoBo9WGBp6Dt,Sexual,0,1,[],0
202,3rYMuQ0Ix2efxlGmtZPCfn,Stranger (feat. Elliphant),184,1,[],46
203,5v6iBhIlflzR9rEd1LAMbd,SremmLife 2 (Deluxe),184,14,[],73
204,5YpK59N59zCX7Hkc9aBiGv,Fresh Eyes,0,1,[],0
205,2LmodhQa7ayWg8qNGxJDY2,Mura Masa,0,13,[],0
206,5YLRVHDVRw3QqWbeTGpC5B,So Good,171,15,[],75
207,3rDbA12I5duZnlwakqDdZa,Know-It-All (Deluxe),0,13,[],3
208,1lXY618HWkwYKJWBRYR4MK,More Life,184,22,[],85
209,5qeKpDQFyotJjLh61pUZQo,Truce - EP,184,5,[],59
210,0xmaV6EtJ4M3ebZUPRnhyb,All We Know,184,1,[],64
211,3Nuw6arrA8kVwhIvyGbiku,HAIZ,0,6,[],0
212,52bwpFP1d8uri0V5oWQLF0,Night & Day (Night Edition),0,10,[],0
213,6IJVWErYhvWqG41NnLSGMM,By Your Side,0,1,[],0
214,6VHCF8ykDo3STafE5JfMAs,Skin,0,16,[],0
215,4MzuH8NMoERebcxL4x9EdR,Two Degrees,184,12,[],47
216,7zuqkqhGkTH3PSdywhLgY4,Blossom (Deluxe),177,20,[],57
217,6FLZDJq4UuwqcaQlI4XCP1,Illuminate,0,18,[],0
218,6OnHUnhxRIZ4FB7ce9wF39,Morse Code,184,15,[],49
