,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
1482,0.429,0.661,11,-7.227,1,0.0281,0.00239,0.000121,0.234,0.285,173.372,audio_features,3AJwUDP919kvQ9QcozQPxg,spotify:track:3AJwUDP919kvQ9QcozQPxg,https://api.spotify.com/v1/tracks/3AJwUDP919kvQ9QcozQPxg,https://api.spotify.com/v1/audio-analysis/3AJwUDP919kvQ9QcozQPxg,266773,4
1483,0.734,0.431,0,-9.436,1,0.0266,0.679,0.056,0.0706,0.76,94.03,audio_features,5Ge3e6dV4wsae8lDQQq8PY,spotify:track:5Ge3e6dV4wsae8lDQQq8PY,https://api.spotify.com/v1/tracks/5Ge3e6dV4wsae8lDQQq8PY,https://api.spotify.com/v1/audio-analysis/5Ge3e6dV4wsae8lDQQq8PY,197307,4
1484,0.444,0.449,8,-5.993,0,0.0295,0.803,7.46e-06,0.124,0.231,131.58,audio_features,7Jo5oEViT27zCkdRI5hEuG,spotify:track:7Jo5oEViT27zCkdRI5hEuG,https://api.spotify.com/v1/tracks/7Jo5oEViT27zCkdRI5hEuG,https://api.spotify.com/v1/audio-analysis/7Jo5oEViT27zCkdRI5hEuG,255464,4
1485,0.507,0.473,4,-6.565,1,0.0227,0.375,0.0132,0.124,0.174,85.426,audio_features,0przIlLCg6sRuRUBEUginM,spotify:track:0przIlLCg6sRuRUBEUginM,https://api.spotify.com/v1/tracks/0przIlLCg6sRuRUBEUginM,https://api.spotify.com/v1/audio-analysis/0przIlLCg6sRuRUBEUginM,289667,4
1486,0.745,0.869,6,-4.375,1,0.0444,0.00193,0.0,0.0799,0.814,104.015,audio_features,4Jk6fZmX3gGYYbHnjq5uyN,spotify:track:4Jk6fZmX3gGYYbHnjq5uyN,https://api.spotify.com/v1/tracks/4Jk6fZmX3gGYYbHnjq5uyN,https://api.spotify.com/v1/audio-analysis/4Jk6fZmX3gGYYbHnjq5uyN,168641,4
1487,0.815,0.618,4,-10.511,0,0.0328,0.514,1.07e-06,0.108,0.941,125.042,audio_features,7y86okbUKyAxsfuL4VkLso,spotify:track:7y86okbUKyAxsfuL4VkLso,https://api.spotify.com/v1/tracks/7y86okbUKyAxsfuL4VkLso,https://api.spotify.com/v1/audio-analysis/7y86okbUKyAxsfuL4VkLso,184040,4
1488,0.416,0.226,7,-10.934,1,0.0338,0.82,0.000272,0.143,0.178,138.852,audio_features,4DX8Ejmm8dMRklWeSnOckn,spotify:track:4DX8Ejmm8dMRklWeSnOckn,https://api.spotify.com/v1/tracks/4DX8Ejmm8dMRklWeSnOckn,https://api.spotify.com/v1/audio-analysis/4DX8Ejmm8dMRklWeSnOckn,299160,4
1489,0.781,0.636,6,-6.776,0,0.0723,0.481,0.000642,0.218,0.841,111.991,audio_features,1artwGqCjSKoPo1k8IK4ES,spotify:track:1artwGqCjSKoPo1k8IK4ES,https://api.spotify.com/v1/tracks/1artwGqCjSKoPo1k8IK4ES,https://api.spotify.com/v1/audio-analysis/1artwGqCjSKoPo1k8IK4ES,219453,4
1490,0.632,0.705,7,-5.666,1,0.0405,0.283,0.0,0.137,0.9,141.948,audio_features,5ktkcnEDkrybwz7XEWjQV9,spotify:track:5ktkcnEDkrybwz7XEWjQV9,https://api.spotify.com/v1/tracks/5ktkcnEDkrybwz7XEWjQV9,https://api.spotify.com/v1/audio-analysis/5ktkcnEDkrybwz7XEWjQV9,279999,4
1491,0.607,0.718,4,-4.095,1,0.0978,0.032,0.0,0.403,0.551,101.821,audio_features,5Ua3GXyHwiSfpNTMjq6m2z,spotify:track:5Ua3GXyHwiSfpNTMjq6m2z,https://api.spotify.com/v1/tracks/5Ua3GXyHwiSfpNTMjq6m2z,https://api.spotify.com/v1/audio-analysis/5Ua3GXyHwiSfpNTMjq6m2z,213307,4
1492,0.549,0.684,0,-4.875,0,0.0349,0.0938,0.0,0.235,0.408,147.012,audio_features,20js7QbHkIuzrgecUTPfl7,spotify:track:20js7QbHkIuzrgecUTPfl7,https://api.spotify.com/v1/tracks/20js7QbHkIuzrgecUTPfl7,https://api.spotify.com/v1/audio-analysis/20js7QbHkIuzrgecUTPfl7,190853,4
